"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"359","SVN","Slovenia","0.085102378","4.51089E-05",0.053005497,21450.814,"seagrasses"
"360","SWE","Sweden","33.87931189","18.82019373",55.55069653,51446.757,"seagrasses"
"361","SYC","Seychelles","5.58478E-05","1.8616E-05",33.3334231,16721.449,"seagrasses"
"362","TGO","Togo","189.8222066","0",0,792.222,"seagrasses"
"363","THA","Thailand","1822.150234","1408.502136",77.29890266,5993.308,"seagrasses"
"364","TKM","Turkmenistan","2.48213E-05","3.10267E-06",12.500042,7306.006,"seagrasses"
"365","TLS","Timor-Leste","334.7836364","4.005725709",1.196511799,1335.544,"seagrasses"
"366","TON","Tonga","3684.589058","184.7012686",5.012805111,4181.064,"seagrasses"
"367","TTO","Trinidad and Tobago","1.11733615","0.582254174",52.11092234,17149.368,"seagrasses"
"368","TUN","Tunisia","4988.245786","122.9022409",2.463836912,3890.127,"seagrasses"
"369","UKR","Ukraine","155.695511","93.57686355",60.10248011,2200.851,"seagrasses"
"370","USA","United States","13940.22969","8524.270082",61.14870608,58179.697,"seagrasses"
"371","VCT","Saint Vincent and the Grenadines","0.311822714","0.040396716",12.95502663,7389.41,"seagrasses"
"372","VUT","Vanuatu","1237.733143","3.179871694",0.256910927,2929.483,"seagrasses"
"373","WSM","Samoa","982.8723327","47.37314431",4.819867518,4325.408,"seagrasses"
"374","YEM","Yemen","5455.4819","6.20522E-06",1.13743e-07,975.359,"seagrasses"
"375","ZAF","South Africa","405.5657793","405.5657318",99.99998828,5721.189,"seagrasses"
"376","ABW","Aruba","66.5257434761535","0.494249113192906",0.742944140669502,27619.362,"warm_coral"
"377","ARE","United Arab Emirates","126.761555170089","59.9976094380869",47.3310771215939,40436.026,"warm_coral"
"378","ATG","Antigua and Barbuda","54.8946288086163","34.1644476245246",62.2364124979056,16163.761,"warm_coral"
"379","AUS","Australia","31683.868469488","27424.7238569267",86.557371879438,51779.836,"warm_coral"
"380","BGD","Bangladesh","4.53097443625609","0",0,1679.021,"warm_coral"
"381","BHR","Bahrain","207.846294391492","0",0,23800.001,"warm_coral"
"382","BLZ","Belize","894.571592598028","368.999393410442",41.2487269284718,6152.457,"warm_coral"
"383","BRA","Brazil","697.508463347012","570.816769287793",81.836536656303,8812.503,"warm_coral"
"384","BRB","Barbados","31.2227004063655","0.284625165569483",0.911596889010456,18704.689,"warm_coral"
"385","BRN","Brunei Darussalam","62.736094142188","0",0,27321.997,"warm_coral"
"386","COL","Colombia","934.807894158081","831.509304823991",88.9497521384194,6037.133,"warm_coral"
"387","COM","Comoros","218.976991976775","130.270773249896",59.4906213999475,1356.892,"warm_coral"
"388","CRI","Costa Rica","69.8620497617106","24.5026517879331",35.0729070668669,11986.918,"warm_coral"
"389","DJI","Djibouti","247.190961159525","0",0,2803.689,"warm_coral"
"390","DMA","Dominica","16.3589633919245","0.727007963536417",4.44409554639202,8089.25,"warm_coral"
"391","DOM","Dominican Republic","350.604976049933","229.38488669062",65.425450966204,7506.192,"warm_coral"
"392","ECU","Ecuador","125.413568309819","125.413568309819",100,5907.928,"warm_coral"
"393","EGY","Egypt","2207.10880252002","1157.47481502015",52.4430337869421,3862.011,"warm_coral"
"394","ERI","Eritrea","1583.18776808474","0",0,655.424,"warm_coral"
"395","FJI","Fiji","3366.6641085803","1172.48940976381",34.8264445738912,5658.236,"warm_coral"
"396","GRD","Grenada","45.4431923245749","2.99456602496455",6.58969115456516,9572.093,"warm_coral"
"397","GTM","Guatemala","7.06314739238198","5.08667552604251",72.0171227281593,4172.065,"warm_coral"
"398","HND","Honduras","717.914337311415","243.94437229223",33.9795933322353,2325.495,"warm_coral"
"399","HTI","Haiti","325.602719796727","114.121495993399",35.0493067332622,1263.434,"warm_coral"
"400","IDN","Indonesia","20103.4759073885","6788.4191055801",33.7673899620771,3604.99,"warm_coral"
"401","IND","India","2036.5686996224","0",0,1714.28,"warm_coral"
"402","ISR","Israel","0.793356959935676","0.605763184239616",76.3544299515227,37683.004,"warm_coral"
"403","JAM","Jamaica","412.681124524885","72.331114739451",17.5271197156703,5183.462,"warm_coral"
"404","JOR","Jordan","2.86070435046009","0.319393218706919",11.1648454219168,4009.059,"warm_coral"
"405","JPN","Japan","1038.59789808947","743.951749972035",71.630392410822,39411.424,"warm_coral"
"406","KEN","Kenya","410.17083033528","124.792828045584",30.4245984395273,1688.852,"warm_coral"
"407","KHM","Cambodia","47.4636924358226","8.03641425423907",16.9317089375324,1735.785,"warm_coral"
"408","KIR","Kiribati","1960.04450220922","72.8100069219115",3.7147119282162,1845.78,"warm_coral"
"409","KNA","Saint Kitts and Nevis","41.8207486356309","41.1408408619471",98.374233374903,20546.639,"warm_coral"
"410","KWT","Kuwait","72.7455221277148","0",0,26795.706,"warm_coral"
"411","LCA","Saint Lucia","29.4758166276421","3.74404106316117",12.7020774706885,10638.138,"warm_coral"
"412","LKA","Sri Lanka","108.902758257978","0.989204930757828",0.908337811255904,4150.367,"warm_coral"
"413","MDG","Madagascar","2401.19262887085","818.073432929061",34.0694629449099,489.439,"warm_coral"
"414","MDV","Maldives","2696.11221556477","119.539344364491",4.43376739567384,12435.588,"warm_coral"
"415","MEX","Mexico","1560.48415484469","1089.46073443853",69.8155589120326,8999.57,"warm_coral"
"416","MHL","Marshall Islands","1992.45189899197","358.465514314757",17.9911753200221,4143.728,"warm_coral"
"417","MMR","Myanmar","605.711660810521","38.0741145358433",6.28584803615884,1125.44,"warm_coral"
"418","MOZ","Mozambique","1675.05525056339","162.539866054386",9.70355252459389,433.672,"warm_coral"
"419","MUS","Mauritius","2551.1091836772","1839.1713689116",72.0930088245223,9967.673,"warm_coral"
"420","MYS","Malaysia","2148.12186462979","669.353382409515",31.1599352639555,9523.316,"warm_coral"
"421","NIC","Nicaragua","460.096382117654","280.529872624669",60.9719796824948,2091.463,"warm_coral"
"422","NRU","Nauru","5.91543097709155","0",0,7992.255,"warm_coral"
"423","OMN","Oman","266.191499792615","46.4368681546685",17.4449102209675,17020.387,"warm_coral"
"424","PAN","Panama","630.693599060019","68.3134740214335",10.8314836432853,14866.506,"warm_coral"
"425","PHL","Philippines","13485.4703070912","2129.67129937413",15.792339835966,3107.646,"warm_coral"
"426","PLW","Palau","506.399384829784","506.253254851162",99.9711433340956,17182.471,"warm_coral"
"427","PNG","Papua New Guinea","7255.24898314781","297.170348345126",4.09593590840757,2245.439,"warm_coral"
"428","PRI","Puerto Rico","158.139999715516","33.6710879388224",21.2919489056498,30585.55,"warm_coral"
"429","QAT","Qatar","155.314399820548","0.567754192429643",0.365551547754512,57965.377,"warm_coral"
"430","SAU","Saudi Arabia","3419.26971724347","438.95143793615",12.8375786128396,21515.651,"warm_coral"
"431","SDN","Sudan","613.065587203154","121.622739084942",19.8384547467088,1638.638,"warm_coral"
"432","SGP","Singapore","3.85049928877091","0",0,57005.574,"warm_coral"
"433","SLB","Solomon Islands","2804.80799679427","145.125081117998",5.17415385594548,2080.758,"warm_coral"
"434","SOM","Somalia","398.799681938048","0",0,558.643,"warm_coral"
"435","SYC","Seychelles","1493.61105483546","1402.49118105082",93.8993572999044,16721.449,"warm_coral"
"436","THA","Thailand","183.931960509407","115.985274360077",63.058793066116,5993.308,"warm_coral"
"437","TLS","Timor-Leste","35.0497470582209","9.55487220152923",27.2608877480847,1335.544,"warm_coral"
"438","TON","Tonga","992.045050511086","164.60043727206",16.5920325077233,4181.064,"warm_coral"
"439","TTO","Trinidad and Tobago","32.025848022524","4.99522785364437",15.5974881605982,17149.368,"warm_coral"
"440","TUV","Tuvalu","885.565367509401","66.2450348045415",7.48053585144726,3871.034,"warm_coral"
"441","USA","United States","4089.96838663447","3573.66325826619",87.376305155426,58179.697,"warm_coral"
"442","VCT","Saint Vincent and the Grenadines","38.7063756302732","18.7420668764878",48.421136237383,7389.41,"warm_coral"
"443","VUT","Vanuatu","706.934537986606","2.40953728927308",0.340843056860059,2929.483,"warm_coral"
"444","WSM","Samoa","199.995942811373","20.073195987639",10.036801599806,4325.408,"warm_coral"
"445","YEM","Yemen","652.240702385378","1.65589449712139",0.253877823181755,975.359,"warm_coral"
"446","ZAF","South Africa","1.39881332507099","1.39881332507099",100,5721.189,"warm_coral"
